               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  58,              1.3593,              1.7956,              1.5385,             0.67413,             0.54347,             0.60168,             0.44489,                   0,                   0,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,              1.3531,              1.7878,               1.532,             0.66877,             0.54692,             0.60288,             0.44517,                   0,                   0,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,              1.3431,              1.7758,              1.5274,             0.66555,             0.55005,             0.60344,             0.44563,                   0,                   0,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,              1.3553,              1.7979,              1.5367,             0.66629,             0.55049,             0.60395,             0.44658,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  62,              1.3489,              1.7724,              1.5322,              0.6701,             0.54876,             0.60505,             0.44713,                   0,                   0,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,              1.3486,              1.7757,              1.5281,             0.67463,             0.54719,             0.60533,             0.44769,                   0,                   0,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,              1.3446,              1.7532,              1.5283,             0.67595,             0.54717,             0.60597,             0.44827,                   0,                   0,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,              1.3494,              1.7677,              1.5291,             0.67566,             0.54909,             0.60686,             0.44877,                   0,                   0,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,              1.3459,              1.7672,               1.528,             0.67616,             0.54968,             0.60803,             0.44929,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  67,              1.3446,              1.7737,              1.5295,             0.67797,             0.55014,              0.6086,              0.4501,                   0,                   0,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,              1.3528,              1.7744,              1.5337,             0.67733,             0.55133,             0.60928,             0.45096,                   0,                   0,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,              1.3563,              1.7654,              1.5259,             0.68235,             0.54894,             0.60967,             0.45116,                   0,                   0,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,              1.3441,               1.752,              1.5232,             0.67846,             0.55148,             0.61068,             0.45168,                   0,                   0,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,              1.3346,              1.7565,              1.5229,             0.67476,             0.55405,             0.61047,             0.45187,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  72,              1.3509,              1.7716,              1.5323,             0.67269,             0.55637,             0.61183,             0.45323,                   0,                   0,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,              1.3591,              1.7675,              1.5337,             0.68106,              0.5534,             0.61272,             0.45382,                   0,                   0,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,              1.3401,              1.7464,              1.5196,             0.68339,             0.55188,             0.61279,             0.45466,                   0,                   0,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,              1.3468,               1.754,              1.5284,             0.68272,             0.55327,             0.61348,              0.4551,                   0,                   0,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,              1.3488,                1.74,              1.5197,             0.68665,             0.55279,              0.6137,             0.45496,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  77,              1.3515,              1.7671,              1.5269,             0.68518,             0.55242,             0.61442,             0.45529,                   0,                   0,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,              1.3419,              1.7411,              1.5228,             0.69236,             0.55157,             0.61521,             0.45628,                   0,                   0,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,              1.3411,              1.7379,              1.5248,              0.6899,             0.55227,             0.61521,             0.45685,                   0,                   0,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,              1.3394,              1.7432,              1.5163,             0.68795,             0.55278,             0.61544,             0.45694,                   0,                   0,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,              1.3423,              1.7391,              1.5201,             0.68567,             0.55305,             0.61567,             0.45689,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  82,              1.3354,               1.763,              1.5179,              0.6817,             0.55477,             0.61563,             0.45704,                   0,                   0,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,              1.3347,              1.7265,              1.5153,             0.68265,             0.55605,             0.61535,             0.45727,                   0,                   0,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,              1.3255,              1.7236,              1.5184,              0.6812,             0.55712,             0.61585,             0.45759,                   0,                   0,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,              1.3243,              1.7284,              1.5094,             0.67944,             0.56074,              0.6169,             0.45844,                   0,                   0,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,              1.3437,              1.7593,              1.5242,             0.68513,             0.55977,             0.61738,             0.45872,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  87,              1.3317,              1.7389,              1.5093,             0.68504,             0.55937,             0.61766,             0.45857,                   0,                   0,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,              1.3401,              1.7436,              1.5176,             0.68854,             0.55713,             0.61732,             0.45835,                   0,                   0,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,              1.3308,              1.7292,              1.5133,             0.68374,             0.55932,             0.61761,             0.45841,                   0,                   0,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,              1.3414,              1.7399,              1.5244,             0.67803,             0.56342,             0.61847,             0.45897,                   0,                   0,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,              1.3343,              1.7319,              1.5145,             0.68925,             0.55893,             0.61811,             0.45955,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  92,              1.3306,              1.7377,               1.519,             0.68847,             0.56169,             0.61819,              0.4588,                   0,                   0,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,              1.3312,              1.7505,              1.5187,             0.68688,             0.56086,             0.61877,             0.45945,                   0,                   0,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,              1.3352,              1.7249,              1.5192,             0.68843,              0.5578,             0.61855,              0.4596,                   0,                   0,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,               1.332,              1.7239,              1.5145,             0.69659,             0.55255,             0.61908,             0.45986,                   0,                   0,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,               1.318,              1.7109,              1.5087,             0.69164,             0.55564,             0.61928,             0.46014,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  97,              1.3256,              1.7071,              1.5092,             0.69334,             0.55492,              0.6199,             0.46138,                   0,                   0,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,              1.3307,              1.7193,              1.5091,             0.69026,             0.56007,             0.62017,             0.46187,                   0,                   0,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,              1.3405,              1.7213,              1.5123,             0.68941,             0.56081,             0.62171,             0.46295,                   0,                   0,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,              1.3291,               1.736,              1.5159,             0.69105,             0.56173,             0.62248,              0.4638,                   0,                   0,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,              1.3176,              1.6939,              1.5084,             0.68438,             0.56458,             0.62314,             0.46404,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                 102,              1.3219,              1.7272,              1.5126,             0.68445,             0.56647,             0.62446,             0.46483,                   0,                   0,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,              1.3297,              1.7203,              1.5117,             0.69268,             0.56166,             0.62489,             0.46453,                   0,                   0,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,              1.3287,              1.7136,              1.5117,             0.69201,             0.56357,             0.62556,              0.4643,                   0,                   0,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,              1.3251,              1.7061,              1.5053,             0.69346,             0.56458,             0.62556,             0.46465,                   0,                   0,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,              1.3241,               1.719,              1.5178,             0.69767,             0.56395,             0.62485,             0.46431,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                 107,               1.322,              1.7344,              1.5139,             0.70045,             0.56244,             0.62508,             0.46423,                   0,                   0,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,              1.3215,              1.7059,              1.5037,             0.69905,             0.56204,             0.62468,             0.46407,                   0,                   0,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,               1.319,              1.7236,              1.5051,             0.70522,             0.56099,             0.62476,             0.46448,                   0,                   0,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,              1.3259,              1.7173,              1.5042,             0.69916,             0.56304,             0.62507,             0.46492,                   0,                   0,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,              1.3243,              1.7088,              1.5111,             0.69441,             0.56513,              0.6255,             0.46531,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                 112,              1.3208,              1.7023,              1.5071,             0.69342,             0.56561,             0.62587,              0.4649,                   0,                   0,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,              1.3157,              1.6957,              1.5001,             0.70113,             0.56259,             0.62604,              0.4652,                   0,                   0,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,              1.3319,              1.7183,              1.5082,             0.69479,             0.56669,             0.62662,             0.46585,                   0,                   0,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,              1.3257,               1.696,              1.5138,             0.69139,             0.56884,             0.62679,             0.46605,                   0,                   0,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,              1.3158,               1.679,              1.4983,             0.69414,             0.56765,             0.62721,             0.46612,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                 117,              1.3093,              1.7048,               1.503,             0.69702,             0.56487,             0.62727,              0.4666,                   0,                   0,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,              1.3203,              1.6954,              1.5085,             0.69822,             0.56478,             0.62709,             0.46648,                   0,                   0,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,              1.3229,              1.7006,              1.5059,             0.70304,             0.56292,             0.62757,             0.46671,                   0,                   0,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,               1.317,              1.7004,              1.5061,             0.70344,             0.56311,             0.62732,             0.46711,                   0,                   0,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,              1.3126,              1.6891,              1.5037,             0.70854,             0.56282,             0.62779,             0.46691,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                 122,              1.3237,              1.7038,              1.5078,             0.70458,             0.56321,             0.62887,             0.46804,                   0,                   0,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,              1.3216,               1.694,              1.5095,             0.70105,             0.56383,             0.62878,             0.46775,                   0,                   0,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,              1.3157,              1.6831,              1.5022,             0.69897,             0.56615,             0.62852,             0.46759,                   0,                   0,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,              1.3169,              1.6706,              1.5023,             0.69483,             0.56865,             0.62826,             0.46733,                   0,                   0,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,               1.311,              1.6921,              1.5003,             0.70369,             0.56534,             0.62846,             0.46731,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                 127,              1.3084,              1.6694,              1.4933,             0.70002,              0.5665,              0.6287,             0.46782,                   0,                   0,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,              1.3077,              1.6658,              1.4946,             0.68796,             0.57428,             0.62852,             0.46833,                   0,                   0,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,              1.3104,              1.6746,              1.4998,             0.68846,             0.57424,             0.62899,              0.4684,                   0,                   0,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,              1.3167,              1.6807,              1.5054,             0.68778,             0.57471,             0.62911,             0.46877,                   0,                   0,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,              1.3308,              1.6805,              1.5007,             0.69503,             0.57131,             0.62869,             0.46847,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                 132,              1.3241,              1.6818,              1.5106,             0.70268,             0.56725,             0.62959,             0.46861,                   0,                   0,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,              1.3146,              1.6863,              1.4926,             0.69859,             0.56889,             0.62975,             0.46867,                   0,                   0,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,              1.3133,               1.674,              1.4968,             0.69713,             0.56921,             0.62982,             0.46873,                   0,                   0,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,              1.3198,              1.6794,              1.5058,             0.69681,             0.57087,             0.63027,             0.46884,                   0,                   0,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,              1.3139,              1.6812,              1.5032,             0.69276,             0.57192,             0.63068,              0.4694,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                 137,              1.2988,              1.6494,              1.4925,             0.69684,             0.56793,             0.63074,             0.46912,                   0,                   0,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,              1.3218,              1.6954,              1.5116,             0.69231,             0.57041,             0.63147,             0.46977,                   0,                   0,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,              1.3133,              1.6729,              1.4949,             0.70055,             0.56661,             0.63257,             0.47011,                   0,                   0,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,              1.3067,               1.662,              1.4943,             0.69692,             0.56957,             0.63311,             0.47112,                   0,                   0,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,              1.3075,               1.652,               1.493,             0.69814,             0.56983,              0.6332,             0.47163,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                 142,              1.3109,              1.6685,              1.4903,             0.69511,             0.57193,             0.63309,             0.47151,                   0,                   0,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,              1.3136,               1.656,              1.4924,             0.69488,             0.57315,              0.6335,             0.47171,                   0,                   0,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,              1.2966,              1.6665,              1.4956,             0.69082,             0.57535,             0.63362,             0.47145,                   0,                   0,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,              1.3048,              1.6632,              1.4908,              0.6876,             0.57848,             0.63426,              0.4715,                   0,                   0,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,              1.3085,              1.6428,              1.4917,             0.69798,             0.57195,             0.63365,             0.47132,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                 147,              1.3082,              1.6599,              1.4929,             0.69164,             0.57735,             0.63394,             0.47179,                   0,                   0,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,              1.3059,              1.6539,              1.4917,             0.68918,             0.57807,              0.6342,             0.47181,                   0,                   0,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,              1.3027,              1.6738,              1.4973,             0.69588,             0.57629,             0.63491,             0.47227,                   0,                   0,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,              1.3081,              1.6576,              1.4907,             0.70544,             0.57159,             0.63557,             0.47323,                   0,                   0,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,              1.3002,              1.6677,              1.4968,             0.70384,             0.57535,             0.63658,             0.47339,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                 152,              1.3049,              1.6647,              1.4961,              0.6937,              0.5736,             0.63628,              0.4731,                   0,                   0,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,              1.3125,               1.675,              1.4982,             0.69117,             0.57636,             0.63633,             0.47335,                   0,                   0,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,              1.3062,              1.6771,              1.4977,             0.69026,             0.57677,              0.6367,             0.47366,                   0,                   0,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,              1.2998,              1.6615,              1.4827,             0.68749,             0.57778,             0.63657,             0.47385,                   0,                   0,                   0,           0.0069508,           0.0069508,           0.0069508
                 156,              1.3097,               1.666,              1.4952,             0.69085,             0.57561,             0.63647,             0.47395,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                 157,              1.2978,              1.6352,              1.4854,             0.69166,             0.57744,             0.63708,             0.47418,                   0,                   0,                   0,           0.0069112,           0.0069112,           0.0069112
                 158,              1.3112,              1.6656,               1.494,             0.68775,             0.57663,             0.63684,             0.47417,                   0,                   0,                   0,           0.0068914,           0.0068914,           0.0068914
                 159,              1.2964,              1.6452,              1.4837,             0.70743,              0.5707,             0.63703,             0.47401,                   0,                   0,                   0,           0.0068716,           0.0068716,           0.0068716
                 160,              1.3035,              1.6537,               1.491,             0.71267,             0.56956,             0.63676,             0.47419,                   0,                   0,                   0,           0.0068518,           0.0068518,           0.0068518
                 161,               1.297,               1.649,              1.4807,             0.69848,              0.5741,             0.63639,             0.47414,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                 162,              1.2967,              1.6517,               1.488,             0.70509,             0.57281,             0.63717,             0.47441,                   0,                   0,                   0,           0.0068122,           0.0068122,           0.0068122
                 163,              1.3032,              1.6542,              1.4867,             0.70391,             0.57362,              0.6379,             0.47473,                   0,                   0,                   0,           0.0067924,           0.0067924,           0.0067924
                 164,              1.2988,                1.64,               1.485,             0.70383,             0.57161,             0.63705,             0.47457,                   0,                   0,                   0,           0.0067726,           0.0067726,           0.0067726
                 165,              1.3043,              1.6375,              1.4835,             0.68988,             0.57955,             0.63773,             0.47509,                   0,                   0,                   0,           0.0067528,           0.0067528,           0.0067528
                 166,              1.3173,              1.6469,              1.4818,             0.69521,             0.58102,             0.63825,             0.47504,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                 167,                 1.3,              1.6476,              1.4879,             0.69064,             0.58282,             0.63756,             0.47447,                   0,                   0,                   0,           0.0067132,           0.0067132,           0.0067132
                 168,              1.2949,              1.6479,              1.4896,             0.69227,             0.58275,             0.63807,              0.4746,                   0,                   0,                   0,           0.0066934,           0.0066934,           0.0066934
                 169,              1.3008,              1.6437,              1.4866,             0.69677,             0.57933,             0.63897,              0.4745,                   0,                   0,                   0,           0.0066736,           0.0066736,           0.0066736
                 170,              1.2959,              1.6273,              1.4854,             0.70542,             0.57546,             0.63807,             0.47445,                   0,                   0,                   0,           0.0066538,           0.0066538,           0.0066538
                 171,              1.3049,              1.6637,              1.4876,             0.70039,             0.57781,             0.63894,             0.47472,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                 172,              1.2921,              1.6474,              1.4781,              0.7048,             0.57525,              0.6393,               0.475,                   0,                   0,                   0,           0.0066142,           0.0066142,           0.0066142
                 173,              1.2936,              1.6325,              1.4833,             0.69848,              0.5802,             0.63946,              0.4753,                   0,                   0,                   0,           0.0065944,           0.0065944,           0.0065944
