                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     48,                 1.3513,                0.92807,                 1.7239,                 1.5057,                 0.6788,                0.53526,                0.59628,                0.43575,                0.67424,                0.52153,                0.57576,                0.36954,                      0,                      0,                      0,                      0,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.3535,                 0.9275,                 1.7147,                 1.5041,                0.68399,                0.53403,                0.59726,                0.43669,                 0.6806,                 0.5192,                0.57659,                0.37029,                      0,                      0,                      0,                      0,               0.007624,               0.007624,               0.007624
                     50,                 1.3593,                0.92729,                 1.7127,                 1.5049,                0.68505,                0.53476,                0.59853,                0.43805,                0.68351,                0.51968,                0.57797,                0.37142,                      0,                      0,                      0,                      0,              0.0075745,              0.0075745,              0.0075745
                     51,                  1.343,                0.92486,                 1.6966,                 1.5018,                0.68147,                0.54012,                0.59967,                0.43896,                0.67477,                0.52677,                0.57993,                0.37228,                      0,                      0,                      0,                      0,               0.007525,               0.007525,               0.007525
                     52,                 1.3522,                0.92236,                 1.6977,                 1.4992,                0.68141,                0.54223,                0.60082,                0.44029,                0.67807,                0.52713,                 0.5811,                0.37301,                      0,                      0,                      0,                      0,              0.0074755,              0.0074755,              0.0074755
                     53,                  1.342,                0.91845,                 1.6936,                 1.5001,                0.68263,                0.54324,                0.60198,                0.44132,                0.67895,                0.52925,                0.58225,                0.37416,                      0,                      0,                      0,                      0,               0.007426,               0.007426,               0.007426
                     54,                 1.3433,                  0.917,                 1.6911,                 1.4961,                0.68247,                0.54584,                0.60324,                0.44195,                0.68078,                0.52735,                0.58317,                0.37509,                      0,                      0,                      0,                      0,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.3406,                0.91661,                 1.6964,                 1.4973,                0.68356,                0.54816,                0.60458,                0.44301,                0.67781,                0.53179,                0.58482,                0.37602,                      0,                      0,                      0,                      0,               0.007327,               0.007327,               0.007327
                     56,                 1.3443,                 0.9217,                 1.6879,                 1.4947,                0.68308,                0.54836,                0.60593,                0.44433,                0.67965,                0.53279,                0.58619,                0.37709,                      0,                      0,                      0,                      0,              0.0072775,              0.0072775,              0.0072775
                     57,                  1.338,                0.91752,                 1.6864,                 1.4949,                0.68644,                0.54911,                0.60767,                0.44532,                0.68151,                0.53364,                0.58721,                0.37816,                      0,                      0,                      0,                      0,               0.007228,               0.007228,               0.007228
